Region,Bathing water sampling data coastal 2014,National Grid reference,No. of samples e coli,Median,,Min,,Max,No. failing to conform,,No.of samples Intestinal enterocci (G only),Median,,,,,
NORTH EAST,Spittal,NU0080051500,20,59,<,10,,710,0,,20,10,<,,,,
,Bamburgh Castle,NU1850035300,20,10,<,10,,109,0,,20,10,<,,,,
,Seahouses North,NU2110033000,20,10,<,10,,250,0,,20,10,<,,,,
,Beadnell,NU2330028400,20,10,<,10,,290,0,,20,10,<,,,,
,Low Newton,NU2438024450,20,10,<,10,,91,0,,20,10,<,,,,
,Warkworth,NU2592006429,20,10,<,10,,136,0,,20,10,<,,,,
,Amble Links,NU2850003600,20,10,<,10,,182,0,,20,10,<,,,,
,Druridge Bay North,NZ2750099750,20,10,<,10,,91,0,,20,10,<,,,,
,Druridge Bay South,NZ2910094100,20,10,<,10,,45,0,,20,10,<,,,,
,Newbiggin North,NZ3128087900,20,10,<,10,,127,0,,20,10,<,,,,
,Newbiggin South,NZ3100087280,20,10,<,10,,64,0,,20,10,<,,,,
,Blyth South Beach,NZ3220079500,20,10,<,10,,164,0,,20,10,<,,,,
,Seaton Sluice,NZ3340077100,20,10,<,10,,900,0,,20,10,<,,,,
,Whitley Bay,NZ3555072850,20,10,<,10,,64,0,,20,10,<,,,,
,Tynemouth Cullercoats,NZ3646571287,20,14,<,10,,330,0,,20,23,<,,,,
,Tynemouth Long Sands North,NZ3661970803,20,10,<,10,,45,0,,20,10,<,,,,
,Tynemouth Long Sands South,NZ3697070100,20,10,<,10,,210,0,,20,10,<,,,,
,Tynemouth King Edwards Bay,NZ3724869573,20,10,<,10,,220,0,,20,10,<,,,,
,South Shields,NZ3790067400,20,10,<,10,,210,0,,20,10,<,,,,
,Marsden,NZ4000065000,20,14,<,10,,173,0,,20,10,<,,,,
,Seaburn - Sunderland,NZ4070060500,20,14,<,10,,91,0,,20,10,<,,,,
,Roker - Sunderland,NZ4080059190,20,10,<,10,,310,0,,20,10,<,,,,
,Seaham Hall Beach,NZ4238050825,20,18,<,10,,280,0,,20,10,<,,,,
,Seaham Beach,NZ4260050500,20,10,<,10,,136,0,,20,10,<,,,,
,Crimdon,NZ4848237268,20,10,<,10,,36,0,,20,10,<,,,,
,Seaton Carew North,NZ5260130257,20,10,<,10,,82,0,,20,10,<,,,,
,Seaton Carew Centre,NZ5295029732,20,10,<,10,,360,0,,20,10,<,,,,
,Seaton Carew North Gare,NZ5400028600,20,10,<,10,,18,0,,20,10,<,,,,
,Redcar Coatham,NZ5940025600,20,10,<,10,,82,0,,20,14,<,,,,
,Redcar Lifeboat Station,NZ6074825394,20,14,<,10,,118,0,,20,10,<,,,,
,Redcar Granville,NZ6130025100,20,10,<,10,,230,0,,20,14,<,,,,
,Redcar Stray,NZ6250023800,20,10,<,10,,173,0,,20,10,<,,,,
,Marske Sands,NZ6360023200,20,10,<,10,,450,0,,20,10,<,,,,
,Saltburn,NZ6667721775,20,18,<,10,,155,0,,20,18,<,,,,
,Staithes,NZ7841118828,20,450,,36,,2900,2,,20,375,,,,,
,Runswick Bay,NZ8107215889,20,10,<,10,,155,0,,20,10,<,,,,
,Sandsend,NZ8640012600,20,27,<,10,,1700,0,,20,10,<,,,,
,Whitby,NZ8919111576,20,10,<,10,,82,0,,20,10,<,,,,
,Robin Hoods Bay,NZ9533904850,20,10,<,10,,300,0,,20,10,<,,,,
,Scarborough North Bay,TA0376989807,20,10,<,10,,82,0,,20,10,<,,,,
,Scarborough South Bay,TA0457788564,20,19,<,10,,240,0,,20,41,<,,,,
,Cayton Bay,TA0677584468,20,10,<,10,,73,0,,20,10,<,,,,
,Filey,TA1200380524,20,10,<,10,,945,0,,20,10,<,,,,
,Reighton,TA1435576227,20,10,<,10,,1800,0,,20,10,<,,,,
,Flamborough South Landing,TA2312469230,20,18,<,10,,580,0,,20,10,<,,,,
,"Danes Dyke, Flamborough",TA2159269167,20,10,<,10,,173,0,,20,10,<,,,,
,Bridlington North Beach,TA1897267175,20,10,<,10,,45,0,,20,10,<,,,,
,Bridlington South Beach,TA1787665901,20,10,<,10,,230,0,,20,18,<,,,,
,Wilsthorpe,TA1740764850,20,18,<,10,,220,0,,20,10,<,,,,
,Fraisthorpe,TA1703062873,20,10,<,10,,500,0,,20,10,<,,,,
,Skipsea,TA1883753277,20,10,<,10,,136,0,,20,10,<,,,,
,Hornsea,TA2092348005,20,10,<,10,,55,0,,20,10,<,,,,
,Tunstall,TA3180031256,20,10,<,10,,240,0,,20,10,<,,,,
,Withernsea,TA3441327970,20,10,<,10,,210,0,,20,10,<,,,,
ANGLIAN,Cleethorpes,TA3111808601,20,27,<,10,,4800,1,,20,27,<,,,,
,Humberston Fitties,TA3314006140,20,14,<,10,,230,0,,20,10,<,,,,
,Mablethorpe Town,TF5086685420,20,14,<,10,,250,0,,20,10,<,,,,
,Sutton-on-Sea,TF5231182152,20,10,<,10,,1000,0,,20,10,<,,,,
,Moggs Eye,TF5491277671,20,10,<,10,,680,0,,20,10,<,,,,
,Anderby,TF5543476244,20,10,<,10,,600,0,,20,10,<,,,,
,Chapel St Leonards,TF5651272161,20,18,<,10,,410,0,,20,10,<,,,,
,Ingoldmells South,TF5760968180,20,27,<,10,,964,0,,20,10,<,,,,
,Skegness,TF5745363312,20,10,<,10,,45,0,,20,10,<,,,,
,Heacham,TF6630037500,20,50,<,10,,460,0,,20,10,<,,,,
,Hunstanton Main Beach,TF6702040600,20,14,<,10,,220,0,,20,10,<,,,,
,Hunstanton (Old Hunstanton),TF6780042500,20,18,<,10,,164,0,,20,10,<,,,,
,Wells,TF9140045600,20,10,<,10,,290,0,,20,10,<,,,,
,Sheringham,TG1566543545,20,10,<,10,,18,0,,20,10,<,,,,
,East Runton,TG2024242763,20,10,<,10,,145,0,,20,10,<,,,,
,Cromer,TG2190042500,20,10,<,10,,200,0,,20,10,<,,,,
,Mundesley,TG3170036600,20,10,<,10,,118,0,,20,10,<,,,,
,Sea Palling,TG4309027540,20,10,<,10,,36,0,,20,10,<,,,,
,Hemsby,TG5079317301,20,10,<,10,,27,0,,20,10,<,,,,
,Caister Point,TG5292211945,20,10,<,10,,36,0,,20,10,<,,,,
,Great Yarmouth North,TG5336110410,20,10,<,10,,64,0,,20,10,<,,,,
,Great Yarmouth Pier,TG5330007400,20,10,<,10,,100,0,,20,10,<,,,,
,Great Yarmouth South,TG5330006400,20,10,<,10,,410,0,,20,10,<,,,,
,Gorleston Beach,TG5305903089,20,10,<,10,,240,0,,20,10,<,,,,
,Lowestoft (North of Claremont Pier),TM5471892204,20,10,<,10,,218,0,,20,10,<,,,,
,Lowestoft (South of Claremont Pier),TM5450091700,20,10,<,10,,155,0,,20,10,<,,,,
,Southwold The Pier,TM5130076700,20,10,<,10,,55,0,,20,10,<,,,,
,Southwold The Denes,TM5080075400,20,18,<,10,,127,0,,20,10,<,,,,
,Felixstowe North,TM3059834411,20,10,<,10,,55,0,,20,10,<,,,,
,Felixstowe South,TM2970033700,20,10,<,10,,118,0,,20,10,<,,,,
,Dovercourt,TM2517030640,20,10,<,10,,64,0,,20,10,<,,,,
,Walton,TM2555021560,20,10,<,10,,320,0,,20,14,<,,,,
,Frinton,TM2379019410,20,10,<,10,,230,0,,20,10,<,,,,
,Holland,TM2245017650,20,10,<,10,,155,0,,20,10,<,,,,
,Clacton,TM1879015250,20,10,<,10,,200,0,,20,10,<,,,,
,Clacton (Groyne 41),TM1760014300,20,64,<,10,,1336,0,,20,60,<,,,,
,Jaywick,TM1485012800,20,10,<,10,,36,0,,20,10,<,,,,
,Clacton Beach Martello Tower,TM1670013700,20,18,<,10,,127,0,,20,18,<,,,,
,Brightlingsea,TM0764716182,20,18,<,10,,1218,0,,20,10,<,,,,
,West Mersea,TM0227012030,20,10,<,10,,1500,0,,20,10,<,,,,
